ID,DESCRICAO,PRECOVENDA,CODBARRAS
1,SERVICO MÃO DE OBRA,"1,00",NULL
2,BIC GTM 29 AL CXR 21V F.MEC BCO/VERM,"1.700,00",7800000000023
3,BIC GTM 29 AL CXR 21V F.MEC PTO/VERD,"1.700,00",7800000000030
4,"RODA M AL 26 X 1.1/2 R 2,5Z TRAS","45,00",7800000000047
5,RODA M AL 26 X 1.9 DIANT,"45,00",7800000000054
6,PEDAL PLAST FREES INGLES C/ESF PTO,"14,00",7800000000061
7,"JG CENTRO 123,5MM UN-26 KIT ALTUS 9V","55,00",7800000000078
8,CUBO TRAZEIRO YBR 125 /TODAS DIA FRAG,"125,00",7800000000085
9,CUBO ACO 36F TRAS CROM RETO SF-HB05,"13,38",7800000000092
10,RODA LIVRE 6V 14 - 28 FRICCAO DOURADA,"20,00",7800000000108
11,JG FREIO V.B NYLON PTO(PR),"20,00",7800000000115
12,CUBO ACO 36F TRAS CROM C/ESP HB05 S/EMB,"13,38",7800000000122
13,BOLSA P/SAPATILHA PTO/CINZ,"110,18",7800000000139
14,CUBO ACO 36F TRAS CROM C/ESP - MAX,"18,00",7800000000146
15,PORCA DE ALUM 5/8,"1,00",7800000000153
16,PEDAL PLAST SUECO 1/2 S/ ESFERAS - METALCICLO,"13,00",7800000000160
17,CABO DE EMBREAGEM TITAN 125 2003/2004/FAN 125 ATE,"15,00",7800000000177
18,CORRENTE DE COMANDO BIZ 125 92ELOS - GRAPEX,"35,00",7800000000184
19,PEDAL NYLON COM ESFERA 9/16 PRETO INGLES,"20,49",7800000000191
20,PEDAL ALUM MTB INGLES,"50,00",7800000000207
20,PEDAL ALUM MTB INGLES,"50,00",7908193624184
21,PEDAL FREE STYLE NYLON SUECO,"24,00",7800000000214
22,RODA LIVRE TOUNEY MF - TZ 500 14 / 28D 7 V,"130,00",7800000000221
23,PEDAL BICOLOR EXPORT 1/2 S/ ESFAMARELO,"20,00",7800000000238
23,PEDAL BICOLOR EXPORT 1/2 S/ ESFAMARELO,"20,00",78995191981592
24,PEDAL BICOLOR EXPORT 1/2 S/ ESF AZUL,"20,00",7800000000245
25,PEDAL BICOLOR EXPORT 1/2 S/ ESF ROSA,"20,00",7800000000252
26,PEDAL FREE STYLE ALUM SUECO PRETO NECO,"28,00",7800000000269
27,CABO DE EMBREAGEM NXR 125 MAX CABLE,"25,00",2712780000139
28,CABO DE EMBREAGEM NXR 150 - MAX CABLE,"15,00",7800000000283
29,CABO DE EMBREAGEM NXR 150 BROS 09/TODAS - VEI PECA,"25,00",7800000000290
30,CABO DE EMBREAGEM HONDA NXR 125 BROS ES/ KS 2003/2,"35,00",7890008002860
31,CABO DE EMBREAGEM HONDA NXR/150 BROS KS/ES/ESD 2009/2012 -SORETTO,"35,00",7899954301133
32,CABO DE EMBREAGEM CG 125 FAN ES/KS/CARGO (ATE 1999,"30,00",7890008804136
33,CABO DE EMBREAGEM TITAN 150 04/08,"15,00",7800000000337
34,CABO DE EMBREAGEM TITAN 150 MIX 2009/2010,"15,00",7895797831271
34,CABO DE EMBREAGEM TITAN 150 MIX 2009/2010,"15,00",7800000000344
35,CABO DE EMBREAGEM XTZ  03/11 XTZ 125 08/11 -CONTROL,"35,00",7895797201869
36,CABO DO VELOCIMETRO NXR 150 BROS 06/08KS/ES/ESD -,"25,00",131612
38,CABO  VELOCIMETRO POP 100 - SCT,"18,00",7800000000382
38,CABO  VELOCIMETRO POP 100 - SCT,"18,00",2732500000133
39,CABO  COMANDO VELOCIMETRO CG 125 TITAN 125 CARG 98 E/D,"40,00",7890008806123
40,CABO VELOCIMETRO C100 BIZ 2012 E/D 125+ ATE 2008,"18,00",7800000000405
41,,"18,00",7800000000412
42,CABO VELOCIMETRO HONDA XLR 125 / NX 200 / TORNADO,"18,00",7800000000429
43,CABO  VELOCIMETRO HONDA TITAN 150  FAN 09  PMKE,"15,00",7800000000436
44,CABO DE ACELERADOR  CG 125 FAN 2009 E/D - SCHERER,"20,00",7800000000443
45,CABO DE ACELERADOR NXR 150 BROS WS/KS/ESD 2009/E/D,"32,00",7800000000450
46,CABO DE ACELERADOR CG 150 TITAN/ CG 150 MIX - ES/K,"20,00",7800000000467
47,CABO DE ACELERADOR NX 150 BROS 2013,"20,00",7800000000474
48,,"20,00",7800000000481
49,CABO DE ACELERADOR CG 150 TITAN MIX 2009/2010,"18,00",7800000000498
50,CABO DE ACELERADOR TITAN  ES/KS/KSE/ CARGO 03/08 /,"12,50",7800000000504
51,CABO EMBREAGEM P/ TITAN 150 KS/ES/08,"15,00",7800000000511
52,,"15,00",7800000000528
